Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
4cf145c9-f939-42ce-a598-a7ae5c724251,"2020-06-16, 09:37:47 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::436447184136:user/Reviewer""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Reviewer""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAWLHSHQUEDVN3YMSIO""}]",,us-east-1,,71.197.182.22
f6556520-6c82-44b1-a9ce-e87eb9f361e6,"2020-06-16, 09:37:47 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Reviewer""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,71.197.182.22
241d0a57-71bd-403c-800b-13233d24d3ac,"2020-06-16, 09:37:20 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,71.197.182.22
0c7aa34a-8c1c-44eb-a24e-d943578f528c,"2020-06-16, 09:37:19 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,71.197.182.22
229723f8-eb84-48a7-b850-182d022af013,"2020-06-16, 09:37:19 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::436447184136:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAWLHSHQUEFOMW44AHO""}]",,us-east-1,,71.197.182.22
6fa21a4b-416e-4ec9-aa25-6a64a412a89b,"2020-06-16, 09:37:19 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,71.197.182.22
26c88d10-1fd1-4b53-99e7-87eac5c85248,"2020-06-16, 09:32:33 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::436447184136:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAWLHSHQUEHTC76WCXE""}]",,us-east-1,,71.197.182.22
c99fb895-94fe-4607-93a0-305b1458454e,"2020-06-16, 09:32:33 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,71.197.182.22
348a3c65-1265-47d1-8bda-1fc4a334f430,"2020-06-16, 09:32:17 PM",root,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::436447184136:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAWLHSHQUEJZOGLEENH""}]",,us-east-1,,71.197.182.22
851ce2d7-889f-4ab3-8c08-c944c7acb779,"2020-06-16, 09:32:17 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,71.197.182.22
8b2d301c-f7ea-4873-824f-8336b0b6f3ab,"2020-06-16, 09:32:17 PM",root,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailReadOnlyAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,71.197.182.22
